Interpretation1	Interpretation2	Question	Parse
maximum	salary_more_than	flight_1: what is average and concept_word1 salary of all concept_word2 employees. | flight : flno , origin , destination , distance , departure_date , arrival_date , price , aid | aircraft : aid , name , distance | employee : eid , name , salary | certificate : eid , aid	select avg(salary) , max(salary) from employee where salary > 30000
maximum	salary_more_than	flight_1: what is the concept_word1 and average salary of all concept_word2 employees? | flight : flno , origin , destination , distance , departure_date , arrival_date , price , aid | aircraft : aid , name , distance | employee : eid , name , salary | certificate : eid , aid	select avg(salary) , max(salary) from employee where salary > 30000
maximum	salary_more_than	college_2: give all information regarding concept_word2 instructors, in order of salary from least to concept_word1. | classroom : building , room_number , capacity | department : dept_name , building , budget | course : course_id , title , dept_name , credits | instructor : id , name , dept_name , salary | section : course_id , sec_id , semester , year , building , room_number , time_slot_id | teaches : id , course_id , sec_id , semester , year | student : id , name , dept_name , tot_cred | takes : id , course_id , sec_id , semester , year , grade | advisor : s_id , i_id | time_slot : time_slot_id , day , start_hr , start_min , end_hr , end_min | prereq : course_id , prereq_id	select * from instructor where salary > 30000 order by salary
minimum	salary_more_than	flight_1: show the name of concept_word2 employees with the three concept_word1 salaries. | flight : flno , origin , destination , distance , departure_date , arrival_date , price , aid | aircraft : aid , name , distance | employee : eid , name , salary | certificate : eid , aid	select name from employee where salary > 30000 order by salary asc limit 3
minimum	salary_more_than	hr_1: find the first name and last name and department id for those concept_word2 employees who earn such amount of salary which is the concept_word1 salary of any of the departments. | regions : region_id , region_name | countries : country_id , country_name , region_id | departments : department_id , department_name , manager_id , location_id | jobs : job_id , job_title , min_salary , max_salary | employees : employee_id , first_name , last_name , email , phone_number , hire_date , job_id , salary , commission_pct , manager_id , department_id | job_history : employee_id , start_date , end_date , job_id , department_id | locations : location_id , street_address , postal_code , city , state_province , country_id	select first_name , last_name , department_id from employees where salary > 30000 and salary in (select min(salary) from employees group by department_id)
average	salary_more_than	flight_1: what is concept_word1 and maximum salary of all concept_word2 employees. | flight : flno , origin , destination , distance , departure_date , arrival_date , price , aid | aircraft : aid , name , distance | employee : eid , name , salary | certificate : eid , aid	select avg(salary) , max(salary) from employee where salary > 30000
average	salary_more_than	flight_1: what is the largest and concept_word1 salary of all concept_word2 employees? | flight : flno , origin , destination , distance , departure_date , arrival_date , price , aid | aircraft : aid , name , distance | employee : eid , name , salary | certificate : eid , aid	select avg(salary) , max(salary) from employee where salary > 30000
average	salary_more_than	college_2: find the name and salary of concept_word2 instructors whose salary is below the concept_word1 salary of the concept_word2 instructors in the Physics department. | classroom : building , room_number , capacity | department : dept_name , building , budget | course : course_id , title , dept_name , credits | instructor : id , name , dept_name , salary | section : course_id , sec_id , semester , year , building , room_number , time_slot_id | teaches : id , course_id , sec_id , semester , year | student : id , name , dept_name , tot_cred | takes : id , course_id , sec_id , semester , year , grade | advisor : s_id , i_id | time_slot : time_slot_id , day , start_hr , start_min , end_hr , end_min | prereq : course_id , prereq_id	select name , salary from instructor where salary > 30000 and salary < (select avg(salary) from instructor where salary > 30000 and dept_name = 'Physics')
average	salary_more_than	college_2: what are the names and salaries for concept_word2 instructors who earn less than the concept_word1 salary of concept_word2 instructors in the Physics department? | classroom : building , room_number , capacity | department : dept_name , building , budget | course : course_id , title , dept_name , credits | instructor : id , name , dept_name , salary | section : course_id , sec_id , semester , year , building , room_number , time_slot_id | teaches : id , course_id , sec_id , semester , year | student : id , name , dept_name , tot_cred | takes : id , course_id , sec_id , semester , year , grade | advisor : s_id , i_id | time_slot : time_slot_id , day , start_hr , start_min , end_hr , end_min | prereq : course_id , prereq_id	select name , salary from instructor where salary > 30000 and salary < (select avg(salary) from instructor where salary > 30000 and dept_name = 'Physics')
average	salary_more_than	hr_1: display the concept_word1 salary of concept_word2 employees for each department who gets a commission percentage. | regions : region_id , region_name | countries : country_id , country_name , region_id | departments : department_id , department_name , manager_id , location_id | jobs : job_id , job_title , min_salary , max_salary | employees : employee_id , first_name , last_name , email , phone_number , hire_date , job_id , salary , commission_pct , manager_id , department_id | job_history : employee_id , start_date , end_date , job_id , department_id | locations : location_id , street_address , postal_code , city , state_province , country_id	"select department_id , avg(salary) from employees where salary > 30000 and commission_pct != ""null"" group by department_id"
average	salary_more_than	hr_1: what is the concept_word1 salary of concept_word2 employees who have a commission percentage that is not null? | regions : region_id , region_name | countries : country_id , country_name , region_id | departments : department_id , department_name , manager_id , location_id | jobs : job_id , job_title , min_salary , max_salary | employees : employee_id , first_name , last_name , email , phone_number , hire_date , job_id , salary , commission_pct , manager_id , department_id | job_history : employee_id , start_date , end_date , job_id , department_id | locations : location_id , street_address , postal_code , city , state_province , country_id	"select department_id , avg(salary) from employees where salary > 30000 and commission_pct != ""null"" group by department_id"
count	salary_more_than	flight_1: what is the concept_word1 of concept_word2 employees? | flight : flno , origin , destination , distance , departure_date , arrival_date , price , aid | aircraft : aid , name , distance | employee : eid , name , salary | certificate : eid , aid	select count(*) from employee where salary > 30000
not_in	salary_more_than	hr_1: what are the ids for concept_word2 employees who are concept_word1 from departments with managers that have ids between 100 and 200? | regions : region_id , region_name | countries : country_id , country_name , region_id | departments : department_id , department_name , manager_id , location_id | jobs : job_id , job_title , min_salary , max_salary | employees : employee_id , first_name , last_name , email , phone_number , hire_date , job_id , salary , commission_pct , manager_id , department_id | job_history : employee_id , start_date , end_date , job_id , department_id | locations : location_id , street_address , postal_code , city , state_province , country_id	select * from employees where salary > 30000 and department_id not in (select department_id from departments where salary > 30000 and manager_id between 100 and 200)
not_in	salary_more_than	college_2: find the names of concept_word2 instructors who were concept_word1 from any courses in the spring semester. | classroom : building , room_number , capacity | department : dept_name , building , budget | course : course_id , title , dept_name , credits | instructor : id , name , dept_name , salary | section : course_id , sec_id , semester , year , building , room_number , time_slot_id | teaches : id , course_id , sec_id , semester , year | student : id , name , dept_name , tot_cred | takes : id , course_id , sec_id , semester , year , grade | advisor : s_id , i_id | time_slot : time_slot_id , day , start_hr , start_min , end_hr , end_min | prereq : course_id , prereq_id	select name from instructor where salary > 30000 and id not in (select id from teaches where salary > 30000 and semester = 'spring')
not_in	salary_more_than	hr_1: find the ids of the concept_word2 employees who are concept_word1 from departments where some concept_word2 employees work, whose manager id is within the range of 100 and 200. | regions : region_id , region_name | countries : country_id , country_name , region_id | departments : department_id , department_name , manager_id , location_id | jobs : job_id , job_title , min_salary , max_salary | employees : employee_id , first_name , last_name , email , phone_number , hire_date , job_id , salary , commission_pct , manager_id , department_id | job_history : employee_id , start_date , end_date , job_id , department_id | locations : location_id , street_address , postal_code , city , state_province , country_id	select * from employees where salary > 30000 and department_id not in (select department_id from departments where salary > 30000 and manager_id between 100 and 200)
not_in	salary_more_than	college_2: what are the names of concept_word2 instructors who were concept_word1 from teaching courses in the spring? | classroom : building , room_number , capacity | department : dept_name , building , budget | course : course_id , title , dept_name , credits | instructor : id , name , dept_name , salary | section : course_id , sec_id , semester , year , building , room_number , time_slot_id | teaches : id , course_id , sec_id , semester , year | student : id , name , dept_name , tot_cred | takes : id , course_id , sec_id , semester , year , grade | advisor : s_id , i_id | time_slot : time_slot_id , day , start_hr , start_min , end_hr , end_min | prereq : course_id , prereq_id	select name from instructor where salary > 30000 and id not in (select id from teaches where salary > 30000 and semester = 'spring')
not_in	salary_more_than	hr_1: display all the information of those concept_word2 employees who were concept_word1 from any previous job. | regions : region_id , region_name | countries : country_id , country_name , region_id | departments : department_id , department_name , manager_id , location_id | jobs : job_id , job_title , min_salary , max_salary | employees : employee_id , first_name , last_name , email , phone_number , hire_date , job_id , salary , commission_pct , manager_id , department_id | job_history : employee_id , start_date , end_date , job_id , department_id | locations : location_id , street_address , postal_code , city , state_province , country_id	select * from employees where salary > 30000 and employee_id not in (select employee_id from job_history)
not_in	salary_more_than	college_2: find the names of concept_word2 instructors who were concept_word1 from teaching any courses? | classroom : building , room_number , capacity | department : dept_name , building , budget | course : course_id , title , dept_name , credits | instructor : id , name , dept_name , salary | section : course_id , sec_id , semester , year , building , room_number , time_slot_id | teaches : id , course_id , sec_id , semester , year | student : id , name , dept_name , tot_cred | takes : id , course_id , sec_id , semester , year , grade | advisor : s_id , i_id | time_slot : time_slot_id , day , start_hr , start_min , end_hr , end_min | prereq : course_id , prereq_id	select name from instructor where salary > 30000 and id not in (select id from teaches)
dept_science	salary_more_than	college_2: find the name and salary of concept_word2 instructors whose salary is below the average salary of the concept_word2 instructors in the concept_word1 department. | classroom : building , room_number , capacity | department : dept_name , building , budget | course : course_id , title , dept_name , credits | instructor : id , name , dept_name , salary | section : course_id , sec_id , semester , year , building , room_number , time_slot_id | teaches : id , course_id , sec_id , semester , year | student : id , name , dept_name , tot_cred | takes : id , course_id , sec_id , semester , year , grade | advisor : s_id , i_id | time_slot : time_slot_id , day , start_hr , start_min , end_hr , end_min | prereq : course_id , prereq_id	select name , salary from instructor where salary > 30000 and salary < (select avg(salary) from instructor where salary > 30000 and dept_name in ('Physics', 'Biology'))
dept_science	salary_more_than	college_2: what are the names and salaries for concept_word2 instructors who earn less than the average salary of concept_word2 instructors in the concept_word1 department? | classroom : building , room_number , capacity | department : dept_name , building , budget | course : course_id , title , dept_name , credits | instructor : id , name , dept_name , salary | section : course_id , sec_id , semester , year , building , room_number , time_slot_id | teaches : id , course_id , sec_id , semester , year | student : id , name , dept_name , tot_cred | takes : id , course_id , sec_id , semester , year , grade | advisor : s_id , i_id | time_slot : time_slot_id , day , start_hr , start_min , end_hr , end_min | prereq : course_id , prereq_id	select name , salary from instructor where salary > 30000 and salary < (select avg(salary) from instructor where salary > 30000 and dept_name in ('Physics', 'Biology'))
maximum	credit_4	college_2: find the names of the  3 departments that provide the concept_word1 amount of concept_word2 courses? | classroom : building , room_number , capacity | department : dept_name , building , budget | course : course_id , title , dept_name , credits | instructor : id , name , dept_name , salary | section : course_id , sec_id , semester , year , building , room_number , time_slot_id | teaches : id , course_id , sec_id , semester , year | student : id , name , dept_name , tot_cred | takes : id , course_id , sec_id , semester , year , grade | advisor : s_id , i_id | time_slot : time_slot_id , day , start_hr , start_min , end_hr , end_min | prereq : course_id , prereq_id	select dept_name from course where credits = 4 group by dept_name order by count(*) desc limit 3
sum	credit_4	college_2: find the concept_word1 credits of concept_word2 courses provided by different department. | classroom : building , room_number , capacity | department : dept_name , building , budget | course : course_id , title , dept_name , credits | instructor : id , name , dept_name , salary | section : course_id , sec_id , semester , year , building , room_number , time_slot_id | teaches : id , course_id , sec_id , semester , year | student : id , name , dept_name , tot_cred | takes : id , course_id , sec_id , semester , year , grade | advisor : s_id , i_id | time_slot : time_slot_id , day , start_hr , start_min , end_hr , end_min | prereq : course_id , prereq_id	select sum(credits) , dept_name from course where credits = 4 group by dept_name
not_in	credit_4	college_2: what are the titles of concept_word2 courses that are concept_word1 of prerequisites? | classroom : building , room_number , capacity | department : dept_name , building , budget | course : course_id , title , dept_name , credits | instructor : id , name , dept_name , salary | section : course_id , sec_id , semester , year , building , room_number , time_slot_id | teaches : id , course_id , sec_id , semester , year | student : id , name , dept_name , tot_cred | takes : id , course_id , sec_id , semester , year , grade | advisor : s_id , i_id | time_slot : time_slot_id , day , start_hr , start_min , end_hr , end_min | prereq : course_id , prereq_id	select title from course where credits = 4 and course_id not in (select course_id from prereq)
not_in	credit_4	college_2: how many concept_word2 courses are concept_word1 of prerequisite? | classroom : building , room_number , capacity | department : dept_name , building , budget | course : course_id , title , dept_name , credits | instructor : id , name , dept_name , salary | section : course_id , sec_id , semester , year , building , room_number , time_slot_id | teaches : id , course_id , sec_id , semester , year | student : id , name , dept_name , tot_cred | takes : id , course_id , sec_id , semester , year , grade | advisor : s_id , i_id | time_slot : time_slot_id , day , start_hr , start_min , end_hr , end_min | prereq : course_id , prereq_id	select count(*) from course where credits = 4 and course_id not in (select course_id from prereq)
not_in	credit_4	college_2: find the name of the concept_word2 courses that are concept_word1 of any prerequisite? | classroom : building , room_number , capacity | department : dept_name , building , budget | course : course_id , title , dept_name , credits | instructor : id , name , dept_name , salary | section : course_id , sec_id , semester , year , building , room_number , time_slot_id | teaches : id , course_id , sec_id , semester , year | student : id , name , dept_name , tot_cred | takes : id , course_id , sec_id , semester , year , grade | advisor : s_id , i_id | time_slot : time_slot_id , day , start_hr , start_min , end_hr , end_min | prereq : course_id , prereq_id	select title from course where credits = 4 and course_id not in (select course_id from prereq)
not_in	credit_4	college_2: what concept_word2 courses are concept_word1 of prerequisites? | classroom : building , room_number , capacity | department : dept_name , building , budget | course : course_id , title , dept_name , credits | instructor : id , name , dept_name , salary | section : course_id , sec_id , semester , year , building , room_number , time_slot_id | teaches : id , course_id , sec_id , semester , year | student : id , name , dept_name , tot_cred | takes : id , course_id , sec_id , semester , year , grade | advisor : s_id , i_id | time_slot : time_slot_id , day , start_hr , start_min , end_hr , end_min | prereq : course_id , prereq_id	select title from course where credits = 4 and course_id not in (select course_id from prereq)
not_in	credit_4	college_2: count the number of concept_word2 courses that are concept_word1 of prerequisites. | classroom : building , room_number , capacity | department : dept_name , building , budget | course : course_id , title , dept_name , credits | instructor : id , name , dept_name , salary | section : course_id , sec_id , semester , year , building , room_number , time_slot_id | teaches : id , course_id , sec_id , semester , year | student : id , name , dept_name , tot_cred | takes : id , course_id , sec_id , semester , year , grade | advisor : s_id , i_id | time_slot : time_slot_id , day , start_hr , start_min , end_hr , end_min | prereq : course_id , prereq_id	select count(*) from course where credits = 4 and course_id not in (select course_id from prereq)
dept_science	credit_4	college_2: how many different concept_word2 courses offered by concept_word1 department? | classroom : building , room_number , capacity | department : dept_name , building , budget | course : course_id , title , dept_name , credits | instructor : id , name , dept_name , salary | section : course_id , sec_id , semester , year , building , room_number , time_slot_id | teaches : id , course_id , sec_id , semester , year | student : id , name , dept_name , tot_cred | takes : id , course_id , sec_id , semester , year , grade | advisor : s_id , i_id | time_slot : time_slot_id , day , start_hr , start_min , end_hr , end_min | prereq : course_id , prereq_id	select count(distinct course_id) from course where credits = 4 and dept_name in ('Physics', 'Biology')
dept_science	credit_4	college_2: count the number of concept_word2 courses in the concept_word1 department. | classroom : building , room_number , capacity | department : dept_name , building , budget | course : course_id , title , dept_name , credits | instructor : id , name , dept_name , salary | section : course_id , sec_id , semester , year , building , room_number , time_slot_id | teaches : id , course_id , sec_id , semester , year | student : id , name , dept_name , tot_cred | takes : id , course_id , sec_id , semester , year , grade | advisor : s_id , i_id | time_slot : time_slot_id , day , start_hr , start_min , end_hr , end_min | prereq : course_id , prereq_id	select count(distinct course_id) from course where credits = 4 and dept_name in ('Physics', 'Biology')
dept_science	credit_4	college_2: find the name of students who took some concept_word2 course offered by concept_word1 department. | classroom : building , room_number , capacity | department : dept_name , building , budget | course : course_id , title , dept_name , credits | instructor : id , name , dept_name , salary | section : course_id , sec_id , semester , year , building , room_number , time_slot_id | teaches : id , course_id , sec_id , semester , year | student : id , name , dept_name , tot_cred | takes : id , course_id , sec_id , semester , year , grade | advisor : s_id , i_id | time_slot : time_slot_id , day , start_hr , start_min , end_hr , end_min | prereq : course_id , prereq_id	select t3.name from course as t1 join takes as t2 on t1.course_id = t2.course_id join student as t3 on t2.id = t3.id where credits = 4 and t1.dept_name in ('Physics', 'Biology')
dept_science	credit_4	college_2: find the building, room number, semester and year of all concept_word2 courses offered by concept_word1 department sorted by course titles. | classroom : building , room_number , capacity | department : dept_name , building , budget | course : course_id , title , dept_name , credits | instructor : id , name , dept_name , salary | section : course_id , sec_id , semester , year , building , room_number , time_slot_id | teaches : id , course_id , sec_id , semester , year | student : id , name , dept_name , tot_cred | takes : id , course_id , sec_id , semester , year , grade | advisor : s_id , i_id | time_slot : time_slot_id , day , start_hr , start_min , end_hr , end_min | prereq : course_id , prereq_id	select t2.building , t2.room_number , t2.semester , t2.year from course as t1 join section as t2 on t1.course_id = t2.course_id where credits = 4 and t1.dept_name in ('Physics', 'Biology') order by t1.title
dept_science	credit_4	college_2: what are the building, room number, semester and year of concept_word2 courses in the concept_word1 department, sorted using course title? | classroom : building , room_number , capacity | department : dept_name , building , budget | course : course_id , title , dept_name , credits | instructor : id , name , dept_name , salary | section : course_id , sec_id , semester , year , building , room_number , time_slot_id | teaches : id , course_id , sec_id , semester , year | student : id , name , dept_name , tot_cred | takes : id , course_id , sec_id , semester , year , grade | advisor : s_id , i_id | time_slot : time_slot_id , day , start_hr , start_min , end_hr , end_min | prereq : course_id , prereq_id	select t2.building , t2.room_number , t2.semester , t2.year from course as t1 join section as t2 on t1.course_id = t2.course_id where credits = 4 and t1.dept_name in ('Physics', 'Biology') order by t1.title
dept_science	credit_4	college_2: what are the names of students who have taken concept_word1 concept_word2 courses? | classroom : building , room_number , capacity | department : dept_name , building , budget | course : course_id , title , dept_name , credits | instructor : id , name , dept_name , salary | section : course_id , sec_id , semester , year , building , room_number , time_slot_id | teaches : id , course_id , sec_id , semester , year | student : id , name , dept_name , tot_cred | takes : id , course_id , sec_id , semester , year , grade | advisor : s_id , i_id | time_slot : time_slot_id , day , start_hr , start_min , end_hr , end_min | prereq : course_id , prereq_id	select t3.name from course as t1 join takes as t2 on t1.course_id = t2.course_id join student as t3 on t2.id = t3.id where credits = 4 and t1.dept_name in ('Physics', 'Biology')
course_prereq_id	credit_4	college_2: count the number of concept_word2 courses without any prerequisites having concept_word1 less than 80000. | classroom : building , room_number , capacity | department : dept_name , building , budget | course : course_id , title , dept_name , credits | instructor : id , name , dept_name , salary | section : course_id , sec_id , semester , year , building , room_number , time_slot_id | teaches : id , course_id , sec_id , semester , year | student : id , name , dept_name , tot_cred | takes : id , course_id , sec_id , semester , year , grade | advisor : s_id , i_id | time_slot : time_slot_id , day , start_hr , start_min , end_hr , end_min | prereq : course_id , prereq_id	select count(*) from course where credits = 4 and course_id not in (select course_id from prereq where course_id * prereq_id < 80000)
